old_keyword,action,new_keyword
0,remove,
12,remove,
50,remove,
2003,remove,
2004,remove,
2005,remove,
2006,remove,
2007,remove,
2008,remove,
2009,remove,
2010,remove,
2011,remove,
2012,remove,
2014,remove,
100 Mile,replace,100 Mile House
100 Mile house,replace,100 Mile House
100 Mile House Forest District,remove,
100 Mile House Forest District boundary,replace,101 Mile House
1st day of month,remove,
200 Year Event,replace,200 year event
25000 dollars or more,remove,
Abatement Fire Risk,replace,abatement fire risk
ABE,replace,adult basic education
Aboriginal,replace,aboriginal
Aboriginal Harvesting,replace,aboriginal harvesting
Aboriginal lands,replace,aboriginal lands
Aboriginal Relations,replace,aboriginal relations
Access Categories,replace,access categories
ACCESS CATS,replace,access cats
ACCESS FULL,replace,access full
Access Management Area,replace,access management area
ACCESS MGT,replace,access mgt
Access Road,replace,access road
Access Routes,replace,access routes
Access Strategies,replace,access strategies
Accommodation,replace,accommodation
accomocations,replace,accommodation
Accounting,replace,accounting
Acid Generation,replace,acid generation
Acid Rock Drainage,replace,acid rock drainage
Acid Water,replace,acid water
Acidic Water Geochemistry,replace,acidic water geochemistry
acommodation,replace,accommodation
Acquisition,replace,acquisition
Active Samples,replace,active sample
activities,replace,activity
addresses,replace,address
Administrative Boundaries,replace,administrative boundaries
Administrative Boundaries 1 1 Million,replace,administrative boundaries
Administrative Boundaries 1 1m,replace,administrative boundaries
Administrative Boundary,replace,administrative boundary
Administrative Divisions,replace,administrative division
Administrative Forest Boundaries,replace,administrative forest boundary
Administrative water boundaries,replace,administrative water boundary
admissions,replace,admission
admissions BC,replace,admission
Adult Custody,replace,adult custody
Advanced Argillic Alteration,replace,advanced argillic alteration
Advanced Education,replace,advanced education
Adventure Tourism,replace,adventure tourism
Advisory Report,replace,advisory report
Aerial Video survey NC,replace,aerial video survey
Aerial Video Survey WCVI,replace,aerial video survey
Agate,replace,agate
Age Dating,replace,age dating
Agency,replace,agency
Aggregate,replace,aggregate
Aging Out,replace,aging out
Agreement Areas,replace,agreement areas
Agreements,replace,agreements
Agricultural,replace,agricultural
Agriculture,replace,agriculture
Agriculture Capability,replace,agriculture capability
agriculture land reserve,replace,Agricultural Land Reserve
Air,replace,air
Air Photo,replace,air photo
Air Photos,replace,air photos
Air Quality,replace,air quality
Aircraft,replace,aircraft
Airfields,replace,airfield
Airport,replace,airport
Airports and heliports,replace,airports and heliports
Ajax Quartz Monzonite,replace,ajax quartz monzonite
alaska,replace,Alaska
alberta,replace,Alberta
ALC,replace,Agricultural Land Commission
Alcids,replace,alcid
alcoholic,replace,alcohol
Alcohol-Related,replace,alcohol-related
alexmack,replace,Alexander Mackenzie
Alienated Lands,replace,alienated lands
Alkalic Porphyry,replace,alkalic porphyry
Alkaline,replace,alkaline
Allocation,replace,allocation
Alluvium,replace,alluvium
Alpine Ski,replace,alpine ski
alr,replace,ALR
Alteration,replace,alteration
Alzheimers Disease,replace,Alzheimer's disease
AM Radio,replace,AM radio
Amber,replace,amber
amch,remove,
Amendment,replace,amendment
Amphibian,replace,amphibian
Amyotrophic Lateral Sclerosis and Multiple Sclerosis,replace,amyotrophic lateral sclerosis and multiple sclerosis
Anadromous,replace,anadromous
Analysis,replace,analysis
and Petroleum Resources,replace,Petroleum Resources
and services,replace,services
Annotation,replace,annotation
Annual Coal Production,replace,annual coal production
Annual Coal Values,replace,annual coal value
Annual Metal Production,replace,annual metal production
Annual Production,replace,annual production
Annual Review,replace,annual review
Annual Values,replace,annual value
Anomalous Mercury Bearing Stream,replace,anomalous mercury bearing stream
Anomaly,replace,anomaly
Anomaly Definition,replace,anomaly definition
Anomaly Discrimination,replace,anomaly discrimination
aoa,replace,AOA
Appeal,replace,appeal
appeals,replace,appeal
appearances,replace,appearance
applications,replace,application
Applications,replace,application
applications of math,remove,
Applied Geochemistry,replace,applied geochemistry
Appraisal,replace,appraisal
Approved Study Areas,replace,approved study areas
Aquaculture,replace,aquaculture
Aquatic Classification,replace,aquatic classification
Aquatic Reports,replace,aquatic report
Aquifer,replace,aquifer
aquifers,replace,aquifer
Aquifers,replace,aquifer
Arability,replace,arability
Arc Volcanism,replace,arc volcanism
Archaeological,replace,archaeological
Archaeological sites,replace,archaeological sites
Archaeology,replace,archaeology
Archaeology Borden Grid,replace,archaeology borden grid
Architecture,replace,architecture
Archival,replace,archival
Archive,replace,archive
ARCHIVED,replace,archived
Archived,replace,archived
Arcproj,replace,arcproj
Area,replace,area
Area Responsibility,replace,area responsibility
Area Significance,replace,area significance
Area Summary,replace,area summary
Areas,replace,areas
Arrow-Boundary Forest District,replace,Arrow Boundary Forest District
Arrows,replace,arrows
Art School,replace,art school
arts,replace,art
Arts,replace,art
Arts and Crafts Events,replace,arts and crafts events
Asbestos,replace,asbestos
Aspect,replace,aspect
Assessed value,replace,assessed value
Assessment,replace,assessment
Assessment Reports,replace,assessment reports
Assets,replace,asset
associate degrees,replace,associate degree
Association,replace,association
Assumption,replace,assumption
Asthma,replace,asthma
astr r5,remove,
At Risk,replace,at risk
atfc_rca,remove,
Atlas,replace,atlas
At-risk Ecosystems,replace,at-risk ecosystem
At-risk Species,replace,at-risk species
Attraction,replace,attraction
attractions,replace,attraction
atuaa_rca,remove,
Auks,replace,auk
authorizations,replace,authorization
Authorized,replace,authorized
Auto and Transportation Events,replace,auto and transportation events
Avalanche,replace,avalanche
awards,replace,award
B C,remove,
baby names,replace,baby name
Badgers,replace,badger
Balances,replace,balance
Bald Eagles,replace,bald eagle
Band,remove,
Bank Protection,replace,bank protection
Barite,replace,barite
Bark beetles,replace,bark beetle
barriers,replace,barrier
Base,replace,base 
Base Map,replace,base map
Base map,replace,base map
Base Mapping,replace,base mapping
Base Maps,replace,base maps
Base Metal,replace,base metal
Base Metals,replace,base metals
Basemaps,replace,basemap
Basins,replace,basins
Bat,replace,bat
BATH SURVEY MAP SHEETS SVW,replace,bathymetric survey map
BATHYMETRIC,replace,bathymetric
Bathymetric Maps,replace,bathymetric maps
Bathymetric Surveys,replace,bathymetry
bays,replace,bay
bc,remove,
BC Historical Fish Distribution 50K Points,replace,BC Historical Fish Distribution
BC Historical Fish Distribution 50K Zones,replace,BC Historical Fish Distribution
BC Macro-reaches 50K,remove,
BCAC,replace,BC Arts Council
bcal,replace,BCAL
BCHYDRO,replace,BC Hydro
Beach,replace,beach
Bear,replace,bear
bec,replace,BEC
BECdb,remove,
bed and breakfast,remove,
Bedrock Geology,replace,bedrock geology
Bedrock geology,replace,bedrock geology
Bedrock Geology Assay,replace,bedrock geology assay
Beer,replace,beer
Benchmark,remove,
beneficiaries,replace,beneficiary
benefits,replace,benefit
Benefits,replace,benefit
Benthic,replace,benthic
Beverage Alcohol,remove,
BGCdb,replace,BGCDB
Big eared Bats,replace,Big eared bats
Big game,replace,big game
Big Trees,replace,big tree
bighorm sheep,replace,bighorn sheep
bighorn,replace,bighorn sheep
Biocontrol,replace,biocontrol
Biocontrol Agent,replace,biocontrol agent
Biodiversity Corridor,replace,biodiversity corridor
Biogeochemistry,replace,biogeochemistry
Biogeoclimatic,replace,biogeoclimatic
Biogeoclimatic Ecosystem Classification,replace,biogeoclimatic ecosystem classification
Biological Control Agent,replace,biological control agent
Biological Insect Control,replace,biological insect control
Biology,replace,biology
Biophysical Habitat,replace,biophysical habitat
Bio-Physical Shorezone CHS High Water Mark,replace,HWM
Bio-Physical Shorezone CHS Low Water Mark SP,replace,LWM
Biophysical Suitability,replace,biophysical suitability
Bioslide points,replace,bioslide point
Bioslides,replace,bioslide
Bioterrain,replace,bioterrain
Bioterrain Mapping,replace,bioterrain mapping
Birch,replace,birch
Bird Colonies,replace,bird colony
Birds,replace,bird
Birds-of-Prey,replace,bird of prey
birth certificate death certificate,remove,
Black Bears,replace,black bear
Black Oystercatchers,replace,black oystercatcher
Block,replace,block
Blood,replace,blood
Blue Book,replace,blue book
Blue listed,replace,blue listed
boards of education,replace,board of education
bonjour,remove,
Borden Grid,replace,borden grid
Borehole Logging,replace,borehole logging
Borrowing,replace,borrowing
BOUNDARIES,replace,boundaries
branches,replace,branch
Breeding,replace,breeding
Breeding Bird Inventory,replace,breeding bird inventory
Bridge,replace,bridge
Bridge Management Information System,replace,bridge management information system
Bridge Structure Road,replace,bridge structure road
Britiish Columbia,replace,British Columbia
British,remove,
British Columbia,remove,
British Columbia Arts Council,replace,BC Arts Council
British Columbia BC,remove,
British Columbia BC,replace,British Columbia
British Columbia place,replace,British Columbia Place
Broad Ecosystem Inventory,replace,broad ecosystem inventory
Brushing,replace,brushing
Budget,replace,budget
Building,replace,building
Building Stone,replace,building stone
buildings,replace,building
Built up Areas,replace,built up areas
Bull Kelp,replace,bull kelp
Bylaw,replace,bylaw
cabins,replace,cabin
Cadastral,replace,cadastral
Cadastre,replace,cadastre
california,replace,California
Camp Sites,replace,Camp Site
camps,replace,camp
Canadian Hydrographic Service charts,remove,
Canadian Hydrographic Service charts Shorezone,remove,
Canadian Hydrographic Service HWM,replace,HWM
Canadian Hydrographic Service LWM,replace,LWM
Canadian Hydrographic Service LWM SP,remove,
Capability,replace,capability
Capable,replace,capable
Capital,replace,capital
Capture Zone,replace,capture zone
car_upt,remove,
Carbon,replace,carbon
Carbonate Alteration,replace,carbonate alteration
Care Plan,replace,care plan
caribou,replace,cariboo
Caribou,replace,cariboo
Caribou Critical Habitat,replace,caribou critical habitat
Caribou Habitat,replace,caribou habitat
Caribou High Elevation,replace,caribou high elevation
Caribou High Elevation Winter Range,replace,caribou high elevation winter range
Caribou WHA,replace,caribou WHA
Caribou Winter Range,replace,caribou winter range
Carnivora,replace,carnivora
cases,replace,case
Catchment Basin,replace,catchment basin
Cattleguards,replace,cattleguard
cclup,replace,CCLUP
ccof,replace,CCOF
ccz,replace,CCZ
cdc,replace,CDC
cdms,replace,CDMS
Cedar,replace,cedar
Cement,replace,cement
Census,replace,census
Central,replace,central
Central Coast,replace,central coast
Central Gneiss Complex,replace,central gneiss complex
Central Vancouver Island,replace,central vancouver island
Cerebral and Other Vascular,replace,cerebral and other vascular
certificates,replace,certificate
Cesarean Section,replace,cesarean section
cgc,replace,CGC
Chalcopyrite,replace,chalcopyrite
Change,replace,change
Changes,replace,change
channels,replace,channel
Char,replace,char
Characteristic,replace,characteristic
Charges,replace,charge
Chemical Treatment,replace,chemical treatment
Chemistry,replace,chemistry
Child,replace,child
Child Care Spaces,replace,child care space
Child daycare services,replace,child daycare services
Children with Adoption Plans,replace,children with adoption plan
Chipmunk,replace,chipmunk
Chipmunks,replace,chipmunk
CHS High Water Mark,remove,
CHS Low Water Mark,remove,
CHS Low Water Mark Shorezone spatial layer,remove,
Church,replace,church
ciders,replace,cider
Cities,replace,cities
CITY,replace,City
civil suits,replace,civil suit
claim costs,replace,claim cost
claims,replace,claim cost
Clam Beds,replace,clam bed
Clams,replace,clam  
class a,replace,Class A
Clay Products,replace,clay product
Clean Energy,replace,clean energy
clearwater,replace,Clearwater
clearwater district,replace,Clearwater District
cli,replace,CLI
client movements,replace,client movement
clients,replace ,client
Climate,replace,climate
Climate Action,replace,climate action
Climate Capability,replace,climate capability
Climate Change,replace,climate change
Climate Stations,replace,climate station
Closed Heli-Skiing,replace,closed heli-skiing
Closure,replace,closure
Clusters,replace,clusters
Coal,replace,coal
Coal Claims,replace,coal claim
Coal Geology,replace,coal geology
Coal Measures,replace,coal measures
Coal Rank,replace,coal rank
Coal Shipments,replace,coal shipment
Coal Tenures,replace,coal tenure
Coal Titles,replace,coal title
Coalbed Methane,replace,coalbed methane
Coalfields,replace,coal field
Coast,replace,coast
Coast Belt,replace,coast belt
Coastal BC,replace,coastal
coastal British Columbia,replace,coastal
Coastal Plan,replace,coastal plan
Coastal Planning,replace,coastal planning
Coastal Videas,replace,coastal videas
Coastal videos,replace,coastal videos
Coastline,replace,coastline
Coastlines,replace,coastlines
Cobalt,replace,cobalt
Collected,replace,collected
colllections,replace,collection
Colluvium,replace,colluvium
Colonies,replace,colony
Colorectal,replace,colorectal
Commercial Harvesting,replace,commercial harvesting
Commercial Recreation,replace,commerical recreation
Commodities,replace,commodities
Common Opal,replace,common opal
Communication Site Polygon,replace,communication site polygon
communications,replace,communication
Community,replace,community
Community Centre,replace,community centre
Community College,replace,community college
Community Connections,replace,community connection
Community or Seasonal Events,replace,community or seasonal events
community programs,replace,community program
Community supervision,replace,community supervision
Community watersheds,replace,community watershed
Community Watersheds,replace,community watershed
companies,replace,company
Compensation,replace,compensation
Compilation,replace,compilation
completed cases,replace,completed case
Computer Database,replace,computer database
Computers,replace,computers
concluded,replace,conclude
conditions,replace,condition
Conductive,replace,conductive
Congenital,replace,congenital
Coniferous Forests,replace,coniferous forests
Conseil anti douleur,replace,conseil anti douleur
Conservancies,replace,conservancy
Conservation,replace,conservation
Conservation Areas,replace,conservation area
Conservation Data Centre,replace,conservation data centre
conservation lands,replace,conservation land
Conservation Properties,replace,conservation properties
Conservation Study Areas,replace,conservation study area
Consolidated,replace,consolidated
Consolidated Revenue Fund,replace,consolidated revenue fund
Consult,replace,consult
Consultation,replace,consultation
Consumption,replace,consumption
Consumptive,replace,consumptive
Contact Metamorphism,replace,contact metamorphism
contacts,replace,contact
Containment Area,replace,containment area
Contaminated,replace,contaminated
Contaminated Sites,replace,contaminated sites
Contingencies,replace,contingency
Contours,replace,contours
Contributing,replace,contributing
Contributing Class,replace,contributing class
Cooking Classes,replace,cooking class
coolers,replace,cooler
Copper,replace,copper
Copper Gold,replace,copper gold
Copper Gold Silver,replace,copper gold silver
Copper Molybdenum,replace,copper molybdenum
Copper Molybdenum Porphyry,replace,copper molybdenum porphyry
Copper Silver,replace,copper silver
Copper Silver Molybdenum,replace,copper silver molybdenum
Copper Zinc Silver,replace,copper zinc silver
Copper Zinc Silver Lead Gold,replace,copper zinc silver lead gold
Core French,replace,core french
Core Sampling,replace,core sampling
Cormorants,replace,cormorant
Corporate Watershed,replace,corporate watershed
Corporate Watershed Base,replace,corporate watershed base
Correlations,replace,correlations
Cortex Data,replace,cortex data
Cost,replace,cost
Cost Estimates,replace,cost estimates
Cost Sharing,replace,cost sharing
costs,replace,cost
Cottonwood,replace,cottonwood
counts,replace,count
County,replace,county
courses,replace,course
court convictions,replace,court conviction
Court Services,replace,court services
courts,replace,court
Coyote,replace,coyote
Crane,replace,crane
Credit,replace,credit
cri,replace,CRI
criminal Provincial,replace,criminal provincial
crown grant,replace,Crown grant
Cruise,replace,cruise
Cry Lake Map Area,replace,Cry Lake map area
Crystalline Flake,replace,crystalline flake
Cu Fe Skarn,replace,cu fe skarn
cuising,remove,
cultural,remove,
Cultural,replace,cultural
Cultural Development,replace,cultural development
Cultural sites,replace,cultural sites
Culturally,replace,culturally
Culture,replace,culture
Culture Capability,replace,culture capability
Culvert,replace,culvert
Culverts,replace,culvert
Cut block polygon,replace,cut block polygon
Cut Permit,replace,cut permit
Cut Permit Polygons,replace,cut permit polygons
Cutblock,replace,cutblock
Dabbling Ducks,replace,dabbling duck
Dam Impacts,replace,dam impact
Dam Unit,replace,dam unit
Damage,replace,damage
Dams,replace,dam
dan,remove,
Dance or Theatre Events,replace,dance or theatre events
Dancing Grounds,replace,dancing grounds
dar,replace,DAR
dashboards,replace,dashboard
Dashboards,replace,dashboard
Data Analysis,replace,data analysis
Data Collection,replace,data collection
Data Compilation,replace,data compilation
Data Retrieval,replace,data retrieval
Database,replace,database
DataBC,remove,
Dave Minty,remove,
dbo,replace,DBO
dcb,replace,DCB
dcl strmcls00,replace,DCL
Death,replace,death
Debris Flows,replace,debris flows
Debt,replace,debt
Deciduous,replace,deciduous
Deciduous Trees,replace,deciduous trees
Deer,replace,deer
Deficit,replace,deficit
defoliators,replace,defoliator
Deformation,replace,deformation
delegated agencies,replace,delegated agency
Demography,replace,demography
Deposit Age,replace,deposit age
Deposit Modelling,replace,deposit modelling
Deprecated,replace,deprecated
Deputy Ministers,replace,Deputy Minister
Describing Terrestrial Ecosystems,replace,describing terrestrial ecosystems
Design,replace,design
Designated Areas,replace,designated area
Development,replace,development
Development Projects,replace,development projects
developmental,replace,development
Devitrification,replace,devitrification
dgo,replace,DGO
Diabetes,replace,diabetes
Diagnostic Facilities,replace,diagnostic facilities
Diesel,replace,diesel
Dietitian,replace,dietician
Digital Data,replace,digital data
Digital Elevation,replace,digital elevation
Digital Elevation Model,replace,digital elevation model
Dikes,replace,dike
Diking Authority,replace,diking authority
din,replace,DIN
diplomas,replace,diploma
Diplomatic Representation,replace,diplomatic representation
Directory,replace,directory
Disaster,replace,disaster
Disaster Response,replace,disaster response
disclosed,replace,disclose
discovery,replace,discover
Discovery,replace,discover
discovery tool,replace,discover
Diseases,replace,disease
Dissemination,replace,dissemination
Distribution,replace,distribution
District,replace,district
district awards,replace,district award
district scholarships,replace,district scholarship
districts,replace,district
Districts,replace,district
Disturbance,replace,disturbance
disturbances,replace,disturbance
Dithizone Test,replace,dithizone test
DIVIDING,replace,dividing
Diving Ducks,replace,diving duck
divisions,replace,division
dka lake 99,replace,DKA
dkl,replace,DKL
dli recsites,replace,DLI
dlitrail,replace,DLI
dme recsites,replace,DME
dmetrail,replace,DME
dminty,remove,
Doctors,replace,doctor
documents,replace,document
Domestic Water,replace,domestic water
double-line stream classification,replace,double line stream classification
download statistics,replace,download statistic
Downloads,replace,download
DRA Digital Road Atlas DPAR,remove,
DRA Digital Road Atlas MFAR,remove,
DRA PAR Digital Road Atlas M-PAR,remove,
Drainage Appliance,replace,drainage appliance
Drastic,replace,drastic
Drawings,replace,drawing
dre,replace,DRE
Drift Exploration,replace,drift exploration
Drill Hole Tests,replace,drill hole tests
Drilling,replace,drilling
Drinking Water,replace,drinking water
driving,replace,drive
Drowning,replace,drowning
Ducks,replace,duck
Ductile Thrusting,replace,ductile thrusting
Dust,replace,dust
Duty,replace,duty
dwellings,replace,dwelling
Dyke,replace,dyke
Dyke Stations,replace,dyke stations
Dykes,replace,dike
Dysrhythmic,replace,dysrhythmic
Eagles,replace,eagle
Early Childhood Care Services,replace,early childhood care service
Early French Immersion,replace,early French immersion
Earning,replace,earning
earnings,replace,earning
East,remove,
East Kootenays,replace,East Kootenay
Echo Sounding,replace,echo sounding
Eco Unit,replace,eco unit
Ecodivisions,replace,ecodivision
Ecodomains,replace,ecodomain
Ecological Aquatic Units,replace,ecological aquatic units
Ecological Classification,replace,ecological classification
Ecological Drainage Units,replace,ecological drainage units
Ecological Land Classification,replace,ecological land classification
ecological reserve,replace,ecological reserves
Ecological Reserves,replace,ecological reserve
Ecology,replace,ecology
Economic,replace,economic
Economic Development,replace,economic development
Economic Geology,replace,economic geology
Economy,replace,economy
Ecoprovince,replace,ecoprovince
Ecoregions,replace,ecoregion
Ecosections,replace,ecosection
Ecosystem Management,replace,ecosystem management
Ecosystem Mapping,replace,ecosystem mapping
Ecosystem Modeling,replace,ecosystem modelling
Ecosystem Modelling,replace,ecosystem modelling
ecosystems,replace,ecosystem
Ecosystems,replace,ecosystem
Education,replace,education
educators,replace,educator
Eelgrass,replace,eelgrass
Effluent Absorption,replace,effluent absorption
egsa tourism,remove,
Elderly Gravida,replace,elderly gravida
Electoral boundaries,replace,electoral boundaries
Electric,replace,electric
Electricity,replace,electricity
Electromagnetics,replace,electromagnetics
Elementary,replace,elementary
Elementary Jr Second,replace,Elementary Junior Secondary
elementary parents,replace,elementary parent
elementary school,replace,elementary schools
Elementary schools,replace,elementary schools
Elevation,replace,elevation
ELK,replace,elk
Elk,replace,elk
Elk Connectivity Corridors,replace,elk connectivity corridor
Elk Corridors,replace,elk corridor
emails,replace,email
Emergency,replace,emergency
Emergency Management,replace,emergency management
Emergency Planning,replace,emergency planning
Emergency Response,replace,emergency response
emissions,replace,emmision
Emphysema,replace,emphysema
employees,replace,employee
Employment,replace,employment
Employment and Income Assistance,replace,employment and income assistance
Employment and Labour Market,replace,employment and labour market
employment outcomes,replace,employment outcome
Employment Program of British Columbia,replace,employment program of British Columbia
employment programs,replace,employment program  
Employment Services,replace,employment service
empr,replace,EMPR
Endangered,replace,endangered
Energy,replace,energy
energy and mines,replace,Energy and Mines
Energy Potential,replace,energy potential
Energy Resources,replace,energy resources
Engineering,replace,engineering
Engineering Geology,replace,engineering geology
english as a second language,replace,English as a second language
English Language,replace,English language
English Language Service for Adults,replace,English language service for adults
English Language Services for Adults,replace,English language service for adults
english literature,replace,English literature
enrolment,replace,enrollment
enrolment by course,replace,enrollment by course
entitlements,replace,entitlement
Environment,replace,environment
Environmental Assessment,replace,environmental assessment
Environmental Geochemistry,replace,environmental geochemistry
environmental indicators,replace,environmental indicator
Environmental Monitoring,replace,environmental monitoring
Environmental Protection,replace,environmental protection
Environmental Reporting,replace,environmental reporting
Environmental Sensitivity,replace,environmental sensitivity
environmental trends,replace,environmental trend
ep,replace,EP
Epigenetic Massive Sulphide,replace,epigenetic massive sulphide
Epithermal,replace,epithermal
Epithermal Veins,replace,epithermal veins
Equity,replace,equity
Ermine,replace,ermine
Erosion,replace,erosion
Estimate,replace,estimate
Estimates,replace,estimate
Estuaries,replace,estuaries
Estuary,replace,estuary
etc,remove,
Eulachons,replace,euchalon
events,replace,event
examinations,replace,examination
exams,replace,exam 
Exchange,replace,exchange
Exclusions,replace,exclusion
Executive Compensation,replace,executive compensation
Exemption,replace,exemption
Expenditure,replace,expenditure
expenditures,replace,expenditure
Expenditures,replace,expenditure
Expense,replace ,expense
Exploration,replace,exploration
Exploration Geochemistry,replace,exploration geochemistry
Exploration Programs,replace,exploration programs
Exploration Results,replace,exploration results
Exploratory,replace,exploratory
Export,replace,export
External Recoveries,replace,external recovery
Extraction Points,replace,extraction point
Extraction Sites,replace,extraction sites
F_OWN,remove,
Facilities,replace,facilities
facilities and IT,remove,
Factors,replace,factor
Falls,replace,fall
families,replace,family
Family Child Care,replace,family child care
Farm,replace,farm
Farm Land,replace,farm land
Farmers Markets Events,replace,farmers markets events
Farming,replace,farming
fatalities,replace,fatality
Faults,replace,fault
fc1,replace,FC1
fcfd,replace,FCFD
FCODE,remove,
F-CODE,remove,
fdp,replace,FDP
fear of crime,remove,
Feature Catalogue,replace,feature catalogue
Feature Code,replace,feature code
Federal Government Land,replace,federal government land
Fee Simple,replace,fee simple
Feeding,replace,feeding
Fee-for-Service,replace,fee for service
Female Breast,replace,female breast
Female Reproductive,replace,female reproductive
FEN,replace,FEN
Fences,replace,fence
ferries,replace,ferry
Ferry transportation,replace,ferry transportation
Fertilization,replace,fertilization
festivals,replace,festival
Fieldwork,replace,fieldwork
File Geodatabase,replace,file geodatabase
Fill,replace,fill
Financial,replace,financial
Financial Equity,replace,financial equity
Financial Services,replace,financial services
finding,replace,finding
Finfish,replace,finfish
Finfish Farms,replace,finfish farm
Finfish Hatcheries,replace,finfish hatchery
Finfish Suitability,replace,finfish suitability
fire locations,replace,fire location
Fire Locations,replace,fire location
Fire perimeters,replace,fire perimeter
fire points,replace,fire point
fire polygons,replace,fire polygon
fire suppression zones,replace,fire suppression zone
fires,replace,fire
fires 2004,replace,fires
firgroup,remove,
First,replace,first
First Naiton Claims,replace,First Nation claims
first nations,replace,first nation
First Nations,replace,first nation
First Nations Initiatives,replace,first nation initiative
first nations studies,replace,first nation study
first time in grade 12,remove,
Fish,replace,fish
fish and wildlife compensation program,replace,fish and wildlife
fish and wildlife recreation and allocation,replace,fish and wildlife
Fish Collection Permit Data,replace,fish collection permit data
Fish Count,replace,fish count
Fish Distribution,replace,fish distribution
Fish Farms,replace,fish farms
Fish Habitat,replace,fish habitat
Fish Inventory,replace,fish inventory
fish locations,replace,fish location
fish observations,replace,fish observation
fish occurrences,replace,fish occurrence
Fish Potential Watersheds,replace,fish potential watersheds
Fish Presence,replace,fish presence
Fish Processing,replace,fish processing
fish ranges,replace,fish range
Fish Recce Survey,remove,
Fish Reconnaisance Survey,replace,fish reconnaissance survey
Fish Sampling,replace,fish sampling
Fish Surveys,replace,fish survey
Fisheries Sensitive Watersheds,replace,fisheries sensitive watershed
FISS_LAKE_SURVEYS_SVW,remove,
fixed-rate,replace,fixed rate
Flammulated Owl,replace,flammulated owl
Flight Lines,replace,flight lines
Flightlines,replace,flightlines
floating-rate,replace,floating rate
Flood,replace,flood
Flood Box,replace,flood box
Flood Control,replace,flood control
Flood Dykes,replace,flood dykes
Flood Plain,replace,flood plain
Flood Profile Points,replace,flood profile points
Flood Protection Works,replace,flood protection works
Floodplain,replace,floodplain
Floodplain Mapping,replace,floodplain mapping
Fluid Inclusion,replace,fluid inclusion
FM Radio,replace,FM radio
fn birch,replace,birch
fnpc_rca,remove,
Foliation,replace,foliation
Food,replace,food
Food or Wine Events,replace,food or wine events
Food Processing,replace,food processing
Footprint,replace,footprint
Footprint Habitat Mapping,replace,footprint habitat mapping
Forage,replace,forage
Forecast,replace,forecast
foreshore plants,replace,foreshore plant
Forest,replace,forest
Forest and Range Agreement,replace,forest and range agreement
Forest Cover,replace,forest cover
