old_keyword,action,new_keyword
Forest Cover Polygon,replace,forest  cover polygon
Forest Data,replace,forest data
forest development plans,replace,forest development plan
Forest districts,replace,forest district
Forest Ecosystem Network,replace,forest ecosystem network
forest fire perimeters,replace,forest fire perimeter
forest fires,replace,forest fire  
Forest Health,replace,forest health
Forest Health Factor,replace,forest health factor
Forest Kerr Area,replace,forest Kerr Area
Forest Licence,replace,forest licence
Forest regions,replace,forest region
Forest Tenure,replace,forest tenure
Forestry,replace,forestry
Forests,replace,forest
Foresty,replace,foresty
forms,replace,form
forrds,remove,
Fort Nelson Foest District,replace,Fort Nelson Forest District
foundation skills,replace,foundation skill
Francophone,replace,francophone
fraser lowland,replace,Fraser Lowland
fraser river,replace,Fraser River
frbc,replace,FRBC
Freedom of Information,replace,freedom of information
french immersion,replace,French immersion
Fresh Water Atlas,replace,freshwater atlas
Freshwater,replace,freshwater
Freshwater Altas,replace,freshwater atlas
Freshwater Atlas,replace,freshwater atlas
Freshwater Classification,replace,freshwater classification
Fressh Water Atlas,replace,freshwater atlas
Frog,replace,frog
frogs,replace,frogs
Front Counter BC,replace,FrontCounter BC
frshore,remove,
fsa,replace,FSA
fsh_dist,remove,
FSHB3199987,remove,
FSHB3199987_1,remove,
FTEs,replace,FTE
Fuel Hazard Assessment,replace,fuel hazard assessment
full-time equivalent,replace,full time equivalent
Full-time Equivalent,replace,full time equivalent
Fulmars,replace,fulmar
Function,replace,function
Funding,replace,funding
g2g,remove,
Galena Lead,replace,galena lead
Galena Lead Isotopes,replace,galena lead isotopes
Garnet,replace,garnet
Gas,replace,gas
Gasoline,replace,gasoline
Gazetteer,replace,gazetteer
Geese,replace,geese
Gemstones,replace,gemstone
General,replace,general
general requests,replace,general request
Geochemical Associations,replace,geochemical associations
Geochemistry,replace,geochemistry
Geochronology,replace,geochronology
Geochronology Neodymium Isotopes,replace,geochronology neodymium isotopes
Geochronometry,replace,geochronometry
Geodatabase,replace,geodatabase
Geodetic Control,replace,geodetic control
Geoenvironmental Mapping,replace,geoenvironmental mapping
Geoenvironmental Ore Deposit Model,replace,geoenvironmental ore deposit model
geographical names,replace,geographical name
Geography Mapping,replace,geography mapping
Geologic Mapping,replace,geologic mapping
Geologic Setting,replace,geologic setting
Geological Formation,replace,geological formation
Geological Hazards,replace,geological hazards
Geology,replace,geology
Geomorphology,replace,geomorphology
Geophysics,replace,geophysics
Geoscientific Maps,replace,geoscientific map
Geospatial,replace,geospatial
Geothermal,replace,geothermal
Geothermal Energy,replace,geothermal energy
Geothermal Tenure,replace,geothermal tenure
german,replace,German
Gerogia Basin,replace,Georgia Basin
Giant Kelp,replace,giant kelp
gif,replace,GIF
girls,replace,girl
Glacial Drift,replace,glacial drift
Glaciations,replace,glaciations
Goal 2 proposed protected areas,replace,goal 2 proposed protected areas
goal2,replace,goal 2
Goat,replace,GOAT
goat,replace,GOAT
Goat Habitat,replace,goat habitat
Goat Sightings,replace,goat sightings
Goat sightings,replace,goat sightings
goat winter habitat in parks cariboo,replace,goat winter habitat
Goats,replace,goats
Gold,replace,gold
Gold Copper Molybdenum,replace,gold copper molybdenum
Gold Silver,replace,gold silver
Gold Silver Copper,replace,gold silver copper
Gold Silver Lead Zinc,replace,gold silver lead zinc
Gold Silver Mercury Arsenic,replace,gold silver mercury arsenic
Golf Courses,replace,golf courses
Goshawk,replace,goshawk
Goshawk Nests,replace,goshawk nests
Government,replace,government
Government Decision,replace,government decision
Government offices,replace,government offices
Government transfers,replace,government transfer
Government Transfers,replace,government transfer
gps,replace,GPS
GR,remove,
grade 10,remove,
grade 11,remove,
grade 12,remove,
grade 12 students,remove,
Grade 3,remove,
grade 3 - 4,remove,
grade 3-4,remove,
grade 4,remove,
grade 7,remove,
grade7,remove,
grades,replace,grade
grads,remove,
graduate in year,remove,
Grant,replace,grant
grants,replace,grant
Grants,replace,grant
Granulite Facies,replace,granulite facies
Graphics  and Printing,replace,graphics and printing
Graphite,replace,graphite
Grassland,replace,grassland
Gravity Measurements,replace,gravity measurements
Gray Wolf,replace,gray wolf
Grazing Tenure,replace,grazing tenure
Grazing Tenures,replace,grazing tenure
Great Blue Herons,replace,great blue heron
Greater,replace,greater
Grebes,replace,grebe
Green Zone,replace,green zone
Grey Jay,replace,grey jay
Grid,replace,grid
Grid Block,replace,grid block
Grids,replace,grid
Grizzly,replace,grizzly
Grizzly Bear,replace,grizzly bear
grizzly bear habitat,replace,grizzly bear
Grizzly Bears,replace,grizzly bear
ground water quality chemistry,replace,groundwater quality chemistry
Groundwater,replace,groundwater
groundwater levels,replace,groundwater level
groundwater observation wells,replace,groundwater observation well
Groundwater Reports,replace,groundwater report
Group,replace,group
Group Child Care,replace,group child care
Grouse,replace,grouse
Growth,replace,growth
Growth and Yield,replace,growth and yield
Growth and Yield Sample,replace,growth and yield sample
Guardrail,replace,guardrail
Guide,replace,guide
Guide Outfitter,replace,guide outfitter
Gulf islands,replace,Gulf Islands
Gulls,replace,gulls
Gypsum,replace,gypsum
ha,remove,
Habitat,replace,habitat
Habitat Compensation Sites,replace,habitat compensation sites
habitat features,replace,habitat feature
Habitat Mapping,replace,habitat mapping
Habitat Suitability,replace,habitat suitability
habitat zones,replace,habitat zone
Hair Styling,replace,hair styling
Harbour Seals,replace,harbour seal
Hardwoods,replace,hardwood
Harvest,replace,harvest
Harvesting,replace,harvest
Hatcheries,replace,hatchery
Haulouts,replace,haulout
Haycutting Tenure,replace,haycutting tenure
Haycutting Tenures,replace,haycutting tenure
Hazards,replace,hazard
hb,remove,
Headcount,replace,headcount
Health,replace,health
Health Care Professionals,replace,health care professional
Health practitioners,replace,health practitioners
Health Services,replace,health services
Healthy Living,replace,healthy living
Heart Failure,replace,heart failure
Heat,replace,heat
Heating,replace,heating
heatlh data,replace,health data
Heavy,replace,heavy
hectares,replace,hectare
Heights of Land,replace,height of land
Heli-Skiing,replace,heli-skiing
hello,remove,
Hemlock,replace,hemlock
Herbicide,replace,herbicide
heritage trails,replace,heritage trail
Heron,replace,heron
Heron Colonies,replace,heron colonies
Heron colonies,replace,heron colonies
Heron Nest Locations,replace,heron nest locations
Herptile,replace,herptile
Herring,replace,herring
hfp,replace,HFP
High Alumina Amphibolite,replace,high alumina amphibolite
High Elevation Range,replace,high elevation range
High Elevation Winter,replace,High Elevation Winter Range
Highway Profile,replace,highway profile
Highway Reference Point,replace,highway reference point
highways,replace,highway
Hiking,replace,hiking
Hiking capability,replace,hiking capability
Hillshade,replace,hillshade
Historic,replace,historic
historical trails,replace,historical trail
HLP_SA,remove,
HoL,replace,height of land
Holding Areas,replace,holding area
Holistic Nutritionist,replace,holistic nutritionist
Home,replace,home
Home or Garden Events,replace,home or garden events
Homicide,replace,homicide
Horsefly,replace,horsefly
Hospital,replace,hospital
Hospitality,replace,hospitality
Hot Springs,replace,hot springs
households,replace,household
https,remove,
Hunting,replace,hunting
Hunting opportunity,replace,hunting opportunity
hwy,replace,HWY
HYDRO,replace,hydro
Hydro,replace,hydro
Hydrocarbons Pools,replace,hydrocarbon pool
Hydroelectric Impacts,replace,hydroelectric impacts
Hydrogeochemistry,replace,hydrogeochemistry
Hydrogeology,replace,hydrogeology
HYDROGRAPHY,replace,hydrography
Hydrometric,replace,hydrometric
Hydrothermal,replace,hydrothermal
Hydrothermal Alteration,replace,hydrothermal alteration
Hydrothermal Deposits,replace,hydrothermal deposits
Hypertension,replace,hypertension
Hypsography,replace,hypsography
Ice,replace,ice
Ice Flow History,replace,ice flow history
idmi,replace,IDMI
ILK SITE,replace,ILK site
ILK STAND,replace,ILK stand
Imagery,replace,imagery
Immigrants Services,replace,immigrants services
Impact,replace,impact
Impacts,replace,impacts
Important Habitat,replace,important habitat
Imposed,replace,imposed
incident locations,replace,incident location
Incident Management,replace,incident management
Incidental Observations,replace,incidental observation
Inclusion,replace,inclusion
Inclusions,replace,inclusions
Income,replace,income
Income Assistance,replace,income assistance
Incorporation date,replace,incorporation date
independent schools,replace,independent school
Index,replace,index
Index system,replace,index system
Indian reserve,replace,Indian Reserve
Indian Reserves,replace,Indian Reserve
Indicator,replace,indicator
individuals,replace,individual
individuals appointed to public service by order in council,remove,
individuals appointed under Public Service Act,remove,
Industrial and coal deposits,replace,industrial and coal deposits
Industrial Minerals,replace,industrial mineral
Industry,replace,industry
Inel Deposit,replace,inel deposit
Infant Deaths,replace,infant death
infants,replace,infant  
Influenza,replace,influenza
Information,replace,information
Infrastructure,replace,infrastructure
inmates,replace,inmate
inmates BC,replace,inmate
Innovation,replace,innovation
Insect,replace,insect
Insurance,replace,insurance
intakes,replace,intake
Interest,replace,interest
Interest Areas,replace,interest areas
interest rates,replace,interest rate
interests,replace,interest areas
Interior,replace,interior
Intermontane Belt,replace,intermontane belt
Internal Recoveries,replace,internal recovery
Interpretive Forest,replace,interpretive forest
Intrinsic Vulnerability,replace,intrinsic vulnerability
Intrusion Related Mineralization,replace,intrusion related mineralization
Intrusions,replace,intrusion
Invasive Alien Plants,replace,invasive alien plants
Invasive Plants,replace,invasive plants
Inventory,replace,inventory
Inventory Ground Sample,replace,inventory ground sample
inventory units,replace,inventory unit
investigations,replace,investigation
Investment,replace,investment
Ischemic,replace,ischemic
Island Intrusions,replace,island intrusions
isolines,replace,isoline
Isotope,replace,isotope
Isotropic Relationships,replace,isotropic relationships
Jade,replace,jade
japanese,replace,Japanese
Japanese Scallop,replace,Japanese scallop
job seekers,replace,job seeker
jpg,remove,
Judge,replace,judge
Justice,replace,justice
k-12 schools,replace,k-12 school
kamloops district,replace,Kamloops District
kamloops TSA,replace,Kamloops TSA
Karst,replace,karst
Karst Potential Mapping,replace,karst potential mapping
Kayak,replace,kayak
Kelp Beds,replace,kelp bed
Key Ecosystem,replace,key ecosystem
KEYWORDS,remove,
K-file,remove,
Kindergarten schools,replace,kindergarten schools
kml,replace,KML
Knowledge Based Systems,replace,knowledge based systems
known fish distribution point,replace,known fish distribution
Known Fish Distribution Points,replace,known fish distribution point
known fish distribution zone,replace,known fish distribution
Known Fish Distribution Zones,replace,known fish distribution zone
kokanee,replace,Kokanee
Labor,replace,labour
laboratories,replace,laboratory
laboratory,replace,laboratory 
Labour,replace,labour
Labour Labor,remove,
labour market job employment occupation forecast,remove,
labs,replace,lab
Lake classifications,replace,lake classifications
Lake Depth Maps,replace,lake depth maps
Lake Depths,replace,lake depths
lake management buffers,replace,lake management buffer
Lake Management Zones,replace,lake management zones
Lake Sediment Analysis,replace,lake sediment analysis
Lake Sediment Geochemistry,replace,lake sediment geochemistry
Lake Sediment Sampling,replace,lake sediment sampling
Lake Survey,replace,lake survey
Lake Survey Maps,replace,lake survey maps
Lake Water Geochemistry,replace,lake water geochemistry
Lakes Classification,replace,lakes classification
Lakeshore Management Zones,replace,lakeshore management zone
Land,replace,land
Land Acquisition,replace,land acquisition
Land and Resource Management Plans,replace,Land and Resource Management Plan
Land Claim settlement Area,replace,land claim settlement area
Land Claim Stlmnt area,replace,land claim settlement area
Land Cover,replace,land cover
land forms,replace,landform
Land Management,replace,land management
LAND MASS,replace,land mass
Land Officer,replace,land officer
Land Ownership,replace,land ownership
Land Plats,replace,land plat
Land Status,replace,land status
Land Statusing,replace,land statusing
Land Use Maps,replace,land use maps
Land Use Plan,replace,land use plan
Land Use Planning,replace,land use planning
Landcover,replace,landcover
Landform,replace,landform
Landforms,replace,landforms
Landmark Kilometre Inventory,replace,landmark kilometre inventory
Landmarks,replace,landmark  
Landsat,replace,landsat
Landscape,replace,landscape
Landscape Unit,replace,landscape unit
Landslides,replace,landslide
Larvae,replace,larvae
Late French Immersion,replace,late French Immersion
LATITUDE,replace,latitude
Lawyer,replace,lawyer
ldgr_rca,remove,
Lead,replace,lead
Lead Fingerprint,replace,lead fingerprint
Lead Isotopes,replace,lead isotopes
Legal,replace,legal
Legal Name,replace,legal name
Legal Objectives,replace,legal objective
Legal Planning Objectives,replace,legal planning objective
Legislation,replace,legislation
LEH Zones,replace,LEH zone
LEH Zones Polygon,replace,LEH zones polygon
Levees,replace,levee
lgwr dmc,remove,
Liabilities,replace,liability
Liability,replace,liability
libraries,replace,library
Licensee,replace,licensee
Licenses,replace,license
Licensing,replace,licensing
Light,replace,light
lillooet,replace,lillooet
Lime,replace,lime
Limestone,replace,limestone
Limited Entry Hunt,replace,limited entry hunt
Limits,replace,limit
Line of Sight,replace,line of sight
Linear Safety Feature,replace,linear safety feature
Lines,replace,line
linv_dmc,remove,
Liquor,replace,liquor
Liquor Control,replace,liquor control
Lithogeochemistry,replace,lithogeochemistry
Lithology,replace,lithology
lithology,replace,lithology
Lithostratigraphy,replace,lithostratigraphy
Livebirth,replace,live birth
Liver Disease,replace,liver disease
Livestock,replace,livestock
lk bufs,replace,lake buffer
Llithostratigraphy,replace,llithostratigraphy
lmzs,replace,LMZS
Local Correlation,replace,local correlation
Local Government,replace,local government
locations,replace,location
Lode gold Deposits,replace,lode gold deposits
Log Handling,replace,log handling
Log Storage,replace,log storage
Logging,replace,logging
LONGITUDE,replace,longitude
Long-Term,replace,long-term
Loons,replace,loon
Lot,replace,lot
Low Birthweight,replace,low birthweight
lowermainland,replace,Lower Mainland
lrmp,replace,LRMP
lslim_r5,remove,
lswr_r5,remove,
lu,replace,LU
Lumber,replace,lumber
Lung,replace,lung
Lung Disease from External Agents,remove,
lup,replace,LUP
lup data,replace,LUP data
lwbc,replace,LWBC
lwlim_r5,remove,
Lymph,replace,lymph
m rata,replace,M RATA
Macrocystis,replace,macrocystis
Macro-reaches,replace,macro-reach
Magnesitic Dolomite,replace,magnesitic dolomite
Magnetic Profiling,replace,magnetic profiling
Magnetometry,replace,magnetometry
Maintenance Class,replace,maintenance class
Major Mineral Deposits,replace,major mineral deposits
Major Project,replace,major project
Major Project Inventory,replace,major project inventory
major rivers,replace,major river
Major Watersheds,replace,major watershed
Mammal,replace,mammal
Mamu,replace,MAMU
mamu,replace,MAMU
MAMU Suitability,replace,MAMU suitability
Man made Features,replace,man made features
man made waterbodies,replace,man made waterbodies
Managed Licence Poly,replace,managed licence poly
Management,replace,management
management areas,replace,management area
Management Initiatives,replace,management initiative
management trails,replace,management trail
management zones,replace,management zone
mandarin chinese,replace,Mandarin Chinese
Manilla Clams,replace,Manilla clams
manual snow courses,replace,manual snow course
Map Notation,replace,map notation
Mapping,replace,mapping
Mapping Photography,replace,mapping photography
maps,replace,map
Mapsheet,replace,mapsheet
Mapsheet Grid,replace,mapsheet grid
Marbled Murrelets,replace,marbled murrelet
Marine,replace,marine
Marine Birds,replace,marine bird
Marine Boundary,replace,marine boundary
Marine Boundary Options,replace,marine boundary options
Marine Ecosections,replace,marine ecosection
Marine Ecounits,replace,marine ecounit
Marine Events,replace,marine events
Marine Flora,replace,marine flora
Marine Geology,replace,marine geology
marine mammals,replace,marine mammal
marine Mammals,replace,marine mammal
Marine parks,replace,marine parks
Marine Plant,replace,marine plant
Marine Protected Areas,replace,marine protected areas
Marriage,replace,marriage
Marsh Buffer,replace,marsh buffer
Marten Capabiltiy,replace,marten capabiltiy
Massage Shiatsu,replace,massage shiatsu
Massage Therapie,replace,massage therapie
Massage Therapist,replace,massage therapist
Massage therapy,replace,massage therapy
Massive Sulphide,replace,massive sulphide
Massive Sulphides,replace,massive sulphide
maturities,replace,maturity
mcfd,replace,MCFD
mdwr,replace,MDWR
Me,remove,
Measures,replace,measure
Mechanical Treatment,replace,mechanical treatment
Medias and Communication,replace,media and communication
Medical,replace,medical
Medical Benefits,replace,medical benefits
men,remove,
Ment,remove,
Merged,replace,merged
Mesh,replace,mesh
Meso Carnivors,replace,meso carnivors
Mesothermal,replace,mesothermal
Mesothermal Gold,replace,mesothermal gold
Mesothermal Vein,replace,mesothermal vein
meta data,replace,metadata
Metal Deposits,replace,metal deposits
Metal Shipments,replace,metal shipment
Metal Values,replace,metal value
Metal Zoning,replace,metal zoning
Metallic,replace,metallic
Metallic Minerals,replace,metallic minerals
Metallogenesis,replace,metallogenesis
Metallogeny,replace,metallogeny
metatag,remove,
Meteorological,replace,meteorological
meter,replace,metre
Methane,replace,methane
metres Geodetic,replace,metres geodetic
Metropolitan,replace,metropolitan
mid coast,replace,Mid Coast
Mid Coast British Columbia,replace,Mid Coast
Middle and junior high schools,replace,middle and junior high schools
middle schools,replace,middle school
Migration,replace,migration
MILE,replace,mile
Military Reserves,replace,military reserves
Mine Geology,replace,mine geology
Mine Production,replace,mine production
Mineral and Coal,replace,mineral and coal
Mineral Assessment Tract,replace,mineral assessment tract
Mineral Claims,replace,mineral claim
Mineral Database,replace,mineral database
Mineral Deposit,replace,mineral deposits
Mineral Deposits,replace,mineral deposits
Mineral Exploration,replace,mineral exploration
Mineral Inventory,replace,mineral inventory
Mineral Locations,replace,mineral locations
Mineral Occurences,replace,mineral occurrences
Mineral Occurrence,replace,mineral occurrence
Mineral Occurrences,replace,mineral occurrences
Mineral occurrences,replace,mineral occurrences
Mineral Potential,replace,mineral potential
Mineral Properties Examination,replace,mineral properties examination
Mineral Property Examination,replace,mineral properties examination
Mineral Resource Assessment,replace,mineral resource assessment
Mineral Resources,replace,mineral resources
Mineral Taxation,replace,mineral taxation
Mineral Tenures,replace,mineral tenure
mineral titles,replace,mineral title
Mineral Titles,replace,mineral title
Mineralization,replace,mineralization
Mineralogy,replace,mineralogy
minerals,replace,mineral
Mines,replace,mine
MINFILE Reserves and Resources Inventory,replace,MINFILE
Mining,replace,mining
Mining History,replace,mining history
Ministers,replace,Minister
ministry,replace,Minister
Ministry of Agriculture,remove,
Ministry of Energy Mines and Petroleum,remove,
Ministry of Environment,remove,
Ministry of Forest,remove,
Ministry of Tourism,remove,
Ministry of Transportation,remove,
Mixed,replace,mixed
MK lines,replace,MK
Mobile,replace,mobile
Modiified,replace,modified
moe,replace,MOE
mof,replace,MOF
Molybdenum,replace,molybdenum
Molybdenum Deposits,replace,molybdenum deposits
Monitoring,replace,monitoring
Moose,replace,moose
Moose Management Unit,replace,moose management unit
Moose_1400,remove,
Morning,replace,morning
MoT Assets,replace,MOT asset
MOT Assets,replace,MOT asset
MoT Inventory,replace,MOT inventory
MOT Inventory,replace,MOT inventory
Motor Vehicle,replace,motor vehicle
Motor Vehicle Accidents,replace,motor vehicle accident
Mouintain Goat,replace,mountain goat
Moulting,replace,moulting
Mounatin Caribou,replace,mountain caribou
Mount,replace,mount 
Mountain Caribou,replace,mountain caribou
Mountain Goat,replace,mountain goat
Mountain Pine Beetle,replace,mountain pine beetle
Mountain Pine Beetle Salvage Area,replace,mountain pine beetle salvage area
Mountains with established skiing and snowboarding facilities,replace,skiing and snowboarding facilities
movements,replace,movement
Moves While in Care,replace,moves while in care
Mtn Goat,replace,mountain goat
Mud Flats,replace,mud flats
Mule Deer,replace,mule deer
Multi Element,replace,multi element
Multi level mixed schools between K 12,replace,multi level mixed schools between k 12
Multi media surveys,replace,multi media surveys
Multi purpose recreation activities,replace,multi purpose recreation activities
Multivariate Data,replace,multivariate data
Municipal,replace,municipal
Municipal Boundaries,replace,municipal boundaries
Municipal Police,replace,municipal police
Municipalities,replace,municipality
Municipality,replace,municipality
Music,replace,music
Muskwa Access,replace,Muskwa access
Muskwa Kechika,replace,Muskwa-Kechika
Muster Point,replace,Muster
Muster Site,replace,Muster
Nation,replace,nation
NATIONAL PARKS,replace,national parks
National Parks,replace,national parks
National parks,replace,national parks
Nations,replace,nation
natl atlas,replace,national atlas
Natural Acid Rock Drainage,replace,natural acid rock drainage
Natural Gas,replace,natural gas
Natural Range Barriers,replace,natural range barrier
Natural Resource,replace,natural resource
Natural Resource Operations,replace,natural resource operation
natural resources,replace,natural resource
Nature or Animals Events,replace,nature or animals events
Navigation,replace,navigation
Near Shore Mineral Resources,replace,near shore mineral resources
Neighbourhood,replace,neighbourhood
Neotectonics,replace,neotectonics
Nereocystis,replace,nereocystis
Nesting,replace,nesting
Nests,replace,nest
Net Debt,replace,net debt
Net Financial Assets,replace,net financial assets
Network,replace,network
new buildings,replace,new building
new cases,replace,new case
non,remove,
Non Farm Use,replace,non farm use
non productive,replace,non-productive
Non Replaceable Forest License,replace,non replaceable forest license
non-BC,remove,
Non-Financial,replace,nonfinancial
non-legal,replace,nonlegal
Nonmalignant,replace,nonmalignant
Non-Recurrence of Child Neglect and-or Abuse,remove,
North,replace,north
north coast,replace,North Coast
northeast,replace,Northeast
Northern,replace,northern
northern caribou,replace,Northern Caribou
Northern Fur,replace,northern fur
Northern Goshawk,replace,northern goshawk
Notional,replace,notional
Noxious Weeds,replace,noxious weeds
NRS Regional Subregional Boundaries,remove,
Nursing Home,replace,nursing home
Obsolete,replace,obsolete
obstacles,replace,obstacle
obstructions,replace,obstruction
occupations,replace,occupation
occurrences,replace,occurrence
Oceanography,replace,oceanography
odsi,replace,ODSI
offences,replace,offence
ogma,replace,OGMA
ohotography index orthophoto,remove,
Oil,replace,oil
Oil and Gas,replace,oil and gas
Oil and Gas Tenure,replace,oil and gas tenure
Oil spill,replace,oil spill
okanagan,replace,Okanagan
oklrmp,remove,
old growth management area,replace,Old Growth Management Area
Old Growth Management Areas,replace,Old Growth Management Area
Old growth management areas,replace,Old Growth Management Area
old growth management areas,replace,Old Growth Management Area
one,remove,
online,remove,
Open Government,replace,open government
Open Information,replace,open information
Open Snowmobile Areas,replace,snowmobile area
Opening,replace,opening
Operability,replace,operability
Operating,replace,operating
Operating Costs,replace,operating cost
operating grants,replace,operating grant
Operating Mines,replace,operating mines
Operations,replace,operation
Opportunities,replace,opportunities
Opportunity,replace,opportunity
Optician,replace,optician
OPTION 1,replace,Option 1
Optometrie,replace,optometry
Optometrist,replace,optometrist
Optometry,replace,optometry
Orchards,replace,orchards
orders,replace,order
organizations,replace,organization
Ornithology,replace,ornithology
ortho photo,replace,orthophoto
osp,replace,OSP
Other,remove,
Other Expenses,replace,other expense
Other External Causes,replace,other external cause
Other Fish Species,replace,other fish species
Other G.I.,replace,other G.I.
Other Infectious Disease,replace,other infectious disease
Other Malignancy,replace,other malignancy
Other Respiratory,replace,other respiratory
Out of Home Placement,replace,out of home placement
outcomes,replace,outcomes
overpayments,replace,overpayment
Overview,replace,overview
Overwintering,replace,overwintering
Owl Sightings,replace,owl sightings
Owner,replace,owner
Owner and Operator,replace,owner and operator
Ownership,replace,ownership
p0005223,remove,
p0005266,remove,
p0005270,remove,
p0105279,remove,
p0105334,remove,
p0105356,remove,
p0205392,remove,
p0205393,remove,
p0205448,remove,
p0205459,remove,
p0205461,remove,
p0205467,remove,
p0205473,remove,
p0205474,remove,
p0305483,remove,
p0305485,remove,
p0305486,remove,
p0305491,remove,
p0305497,remove,
p0305500,remove,
p0305501,remove,
p0305502,remove,
p0305506,remove,
p0305509,remove,
p0305510,remove,
p0305511,remove,
p0305513,remove,
p0305519,remove,
p0305521,remove,
p0305525,remove,
p0305528,remove,
p0305533,remove,
p0305536,remove,
p0305540,remove,
p0305543,remove,
p0305544,remove,
p0405548,remove,
p0405550,remove,
p0405551,remove,
p0405554,remove,
p0405558,remove,
p0405561,remove,
p0405562,remove,
p0405564,remove,
p0405565,remove,
p05,remove,
p05 0051,remove,
p0505569,remove,
p0505570,remove,
p0505571,remove,
p0505574,remove,
p0505586,remove,
p0505587,remove,
p0505593,remove,
p0605599,remove,
pa,remove,
PA MARCH14E,remove,
Pacific White Sided,replace,pacific white-sided dolphin
Pain management,replace,pain management
Paleozoic,replace,paleozoic
Panels,replace,panels
Paragenesis,replace,paragenesis
Parent Material,replace,parent material
Park,replace,park
Parkinsons Disease,replace,Parkinson's disease
Parks and Protected Areas,replace,parks and protected area
Partition,replace,partition
pas,replace,PAS
Past Production,replace,past production
Pastures,replace,pasture
Patch Analysis,replace,patch analysis
Patch Assessment,replace,patch assessment
Path,replace,path
Paths,replace,path
Patient,replace,patient
Patients,replace,patient
payees,replace,payee
payments,replace,payment
Payments,replace,payment
Peace,replace,peace
Pelagic,replace,pelagic
Pelagic Birds,replace,pelagic bird
PEM 20,replace,PEM
PEM 20K,replace,PEM
PEM 50,replace,PEM
PEM 50K,replace,PEM
Perlite,replace,perlite
Permanent Sample Plot,replace,permanent sample plot
Permit,replace,permit
permits,replace,permit
Permits,replace,permit
Permits Over Crown Land,replace,permits over crown land
Pest,replace,pest
Pest Infestation,replace,pest infestation
Pests,replace,pest
Petrels,replace,petrel
Petrochemistry,replace,petrochemistry
Petrography,replace,petrography
Petroleum,replace,petroleum
Petroleum Tenure,replace,petroleum tenure
Petrology,replace,petrology
pflb_rca,remove,
pharmacies,replace,pharmacy
phones,replace,phone
Physical,replace,physical
Physical Equity,replace,physical equity
Physicians,replace,physician
Physiography,replace,physiography
Physiotherapist,replace,physiotherapist
Physiotherapy,replace,physiotherapy
Pilot,replace,pilot
Pine Beetle,replace,pine beetle
pinegroup,replace,pine group
pir,replace,PIR
Pits,replace,pit
Place Names,replace,place names
Place names,replace,place names
Placer,replace,placer
Plan,replace,plan
PLANIMETRY,replace,planimetry
Planning,replace,planning
Planning Areas,replace,planning areas
Planning Boundaries,replace,planning boundaries
Planning Cell,replace,planning cell
Planning Cells,replace,planning cells
Planning File,replace,planning file
Plans,replace,plan
Plant Communities,replace,plant communities
Planting,replace,planting
Plat,replace,plat
Plats,replace,plat
Plot Points,replace,plot points
Pneumonia,replace,pneumonia
pod,replace,POD
Point of Diversion,replace,point of diversion
Points of Diversion,replace,point of diversion
Poisoning,replace,poisoning
Police,replace,police
Police jurisdictions,replace,police jurisdictions
Polygons,replace,polygons
Polymetallic Sulphides,replace,polymetallic sulphides
Pool,replace,pool
Pools,replace,pool
Poplar,replace,poplar
Populated Places,replace,populated places
Population Counts,replace,population count
Porphyry,replace,porphyry
Porphyry Copper,replace,porphyry copper
Porphyry Copper Gold,replace,porphyry copper gold
